Pregunta,Respuesta,Categoría,Ruta
¿Dónde veo las notificaciones de mi tienda?,"Para ver tus notificaciones: 1) Ve a Ajustes, 2) Selecciona 'Notificaciones' o accede directamente a /notifications. Ahí recibirás alertas sobre nuevas ventas, actividad en tu tienda y actualizaciones del sistema.",Notificaciones,/notifications
¿Qué secciones puedo personalizar en mi tienda?,"Puedes personalizar tres secciones: 1) Header/Cabecera: donde aparece tu logo y navegación, 2) Cuerpo/Main: el área donde se muestran los productos, 3) Footer/Pie de página: la barra inferior con iconos de navegación móvil. Cada una puede tener un color diferente.",Personalización,/customize_store
¿Mi tienda funciona en móviles?,"Sí, tu tienda tiene diseño responsive y funciona perfectamente en móviles, tablets y escritorio. Los clientes podrán navegar, buscar productos y comprar desde cualquier dispositivo.",General,
¿Cómo buscan productos mis clientes?,"Los clientes pueden usar el sistema de búsqueda en la página principal de tu tienda. Pueden buscar por nombre, categoría o usar los filtros disponibles para encontrar exactamente lo que necesitan.",General,/
¿Qué aparece en mi Panel de Control?,"En tu Panel de Control verás: productos, ventas, inventario y configuraciones generales. Es el centro donde gestionas toda tu tienda.",Panel,/ecommerce_dashboard
¿Puedo tener múltiples productos en mi tienda?,"Sí, puedes agregar tantos productos como necesites. Usa 'Crear Productos' para añadir nuevos artículos y 'Administrar Productos' para gestionar tu catálogo completo.",Productos,/create_product
¿Cómo accedo a todas mis configuraciones?,"Ve a Ajustes (/settings). Desde ahí puedes: cambiar contraseña, actualizar datos del e-commerce, cambiar logo, personalizar colores, modificar nombre de usuario y más.",Cuenta,/settings
¿Qué información necesito para crear un producto?,"Para crear un producto necesitas: nombre del producto, descripción detallada, precio, categoría e imágenes. Toda esta información se completa en el formulario de 'Crear Productos'.",Productos,/create_product
¿Los cambios de color se aplican inmediatamente?,"Sí, cuando personalizas los colores en /customize_store y haces clic en 'Guardar', los cambios se aplican inmediatamente a tu tienda online.",Personalización,/customize_store
¿Dónde aparece mi logo?,"Tu logo aparece en el header (cabecera) de todas las páginas de tu tienda. Es lo primero que ven tus clientes cuando entran.",Personalización,/profile_picture
¿Puedo cambiar el color del header, cuerpo y footer por separado?,"Sí, puedes personalizar cada sección de forma independiente. Haz clic en la sección que quieres modificar (Cabeza, Cuerpo o Pie de página) y selecciona el color deseado.",Personalización,/customize_store
¿Cómo inicio sesión en mi tienda?,"Para iniciar sesión ve a /login, ingresa tu nombre de usuario y contraseña. Una vez dentro, accederás automáticamente a tu panel de control.",Inicio,/login
¿Necesito conocimientos técnicos para usar Tolo?,"No, la plataforma está diseñada para ser fácil de usar. Todo se gestiona desde el panel de control con interfaces intuitivas. No necesitas saber programación.",General,
¿Mis productos aparecen en búsquedas?,"Sí, los clientes pueden encontrar tus productos usando el sistema de búsqueda y filtros en la página principal de tu tienda.",General,/
¿Puedo ver el historial de cambios en mi tienda?,"Las notificaciones te mantendrán informado sobre actividad importante en tu tienda. Ve a /notifications para ver alertas y actualizaciones.",Notificaciones,/notifications
